"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2",0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0
"3",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"4",0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
"5",0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1
"6",0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0
"7",0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"8",0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0
"9",1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1
"10",0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0
"11",1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0
"12",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"13",1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0
"14",1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1
"15",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
"16",0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
"17",1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"18",0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"19",1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0
"20",0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1
"21",1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0
"22",0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0
"23",0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
"24",0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1
"25",1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0
"26",0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
"27",0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0
"28",1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1
"29",1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0
"30",0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"31",1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1
"32",0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"33",0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
"34",1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
